Date,GDP,GDPGrowth,CPI,PPI,PMI,NonFarmPayroll,InterestRate,InterbankRate,TreasuryYield2Y,TreasuryYield10Y,M1,M2,ExchangeRate,PoliticalStability,MarginBalance,NorthFlow
2020-02-14,588775.1,1.239,2.006,2.273,51.81,16715.63,3.961,3.963,4.179,5.49,469604.01,977272.45,1.265491,0.78,381145.74,40.73
2020-02-17,588804.12,1.242,1.967,2.468,51.86,16723.77,3.948,3.806,4.122,5.043,469663.81,977435.69,1.264671,0.78,381400.3,-209
2020-02-18,588832.65,1.221,1.972,2.437,51.91,16725.91,3.936,4.01,4.074,4.695,469723.31,977598.3,1.263475,0.78,379836.75,-296.91
2020-02-19,588861,1.213,1.98,2.454,52.07,16724.57,3.924,4.031,4.23,4.935,469782.82,977760.96,1.269039,0.78,379757.91,-819.89
2020-02-20,588888.6,1.181,1.993,2.549,51.99,16717.15,3.912,3.899,4.149,5.047,469841.99,977922.91,1.278059,0.78,382622.88,-813.58
2020-02-21,588915.31,1.143,1.967,2.477,52.13,16714.86,3.899,3.98,4.157,4.805,469899.99,978082.42,1.285056,0.78,385737.1,-1023.33
2020-02-24,588941.72,1.13,2.002,2.534,52.11,16716.88,3.887,3.819,4.116,4.622,469958.39,978242.8,1.290788,0.78,385903.65,-752.21
2020-02-25,588967.83,1.117,1.955,2.505,52.44,16719.4,3.874,3.942,3.967,4.896,470015.69,978400.89,1.292733,0.78,389311.18,-576.89
2020-02-26,588994.16,1.127,1.983,2.402,52.41,16716.6,3.863,3.994,3.941,5.479,470073.7,978560.47,1.29123,0.78,385631.6,-459.67
2020-02-27,589019.84,1.099,1.953,2.454,52.69,16717.27,3.85,3.852,4.004,4.401,470130.62,978717.79,1.294946,0.78,384990.27,-363.51
2020-02-28,589044.85,1.07,2.03,2.48,52.49,16710.64,3.84,3.645,4.1,4.336,470188.46,978877.03,1.284648,0.78,385238.75,-117.99
