Date,GDP,GDPGrowth,CPI,PPI,PMI,NonFarmPayroll,InterestRate,InterbankRate,TreasuryYield2Y,TreasuryYield10Y,M1,M2,ExchangeRate,PoliticalStability,MarginBalance,NorthFlow
2020-01-23,541173.55,1.99,4.257,3.248,53.53,11962.63,3.434,3.421,3.61,4.217,879780.17,2672509.24,1.059767,0.82,400337.58,-2877.67
2020-01-24,541214.24,1.895,4.156,3.271,53.61,11966.32,3.504,3.428,3.795,4.629,879991.41,2673256.95,1.056195,0.82,399147.27,-3129.32
2020-01-27,541254.42,1.871,4.126,3.204,53.57,11962.9,3.571,3.623,3.708,4.334,880200.81,2673999.16,1.071702,0.82,400796.09,-3339.66
2020-01-28,541293.66,1.827,4.03,3.267,53.4,11958.68,3.634,3.792,3.866,4.788,880405.41,2674726.83,1.069827,0.82,401623.94,-3171.92
2020-01-29,541331.89,1.779,4.006,3.408,53.5,11948.65,3.694,3.65,3.849,4.626,880607.52,2675447.01,1.076136,0.82,401113.68,-3122.42
2020-01-30,541369.27,1.74,3.973,3.572,53.88,11945.15,3.752,3.528,3.992,4.911,880807.18,2676159.77,1.077576,0.82,401015.57,-2969.71
2020-01-31,541405.78,1.7,4.033,3.558,53.53,11942.33,3.81,3.851,4.003,4.91,881007.54,2676874.72,1.069714,0.82,401965.68,-2874.75
2020-02-03,541441.29,1.653,3.857,3.642,53.43,11932.83,3.861,3.732,4.001,5.132,881200.15,2677566.19,1.07036,0.82,403492.22,-2961.06
2020-02-04,541476.22,1.626,3.806,3.686,53.14,11931.48,3.909,3.945,4.093,5.076,881390.08,2678249.53,1.078263,0.82,404677.22,-2921.82
2020-02-05,541509.6,1.554,3.778,3.724,53.2,11936.97,3.955,4.06,4.15,4.544,881576.57,2678922.5,1.083454,0.82,403395.93,-2885.5
2020-02-06,541542.06,1.511,3.739,3.636,53.39,11938.94,3.998,4.012,4.223,4.812,881760.22,2679586.89,1.083054,0.82,403483.81,-3188.77
2020-02-07,541573.39,1.458,3.689,3.709,53.53,11943.39,4.038,3.981,4.143,5.269,881940.31,2680240.5,1.087817,0.82,405301.73,-2987.33
2020-02-10,541603.9,1.42,3.653,3.67,53.19,11943.47,4.076,3.983,4.165,5.167,882117.86,2680886.42,1.095501,0.82,405818.06,-2650.18
2020-02-11,541633.82,1.392,3.643,3.591,53.31,11930.86,4.113,4.225,4.373,5.036,882294.12,2681528.51,1.092956,0.82,403382.32,-2698.95
2020-02-12,541662.77,1.347,3.658,3.653,53.3,11924.76,4.149,4.124,4.253,5.184,882469.36,2682167.49,1.090705,0.82,402388.99,-2613.48
2020-02-13,541691.23,1.324,3.665,3.661,53.42,11915.92,4.184,4.066,4.443,5.123,882644.05,2682804.9,1.094293,0.82,403900.69,-2776.41
2020-02-14,541718.98,1.291,3.608,3.678,53.16,11905.81,4.217,3.964,4.508,4.961,882815.65,2683432.93,1.100298,0.82,405915.74,-2536.32
2020-02-17,541746.1,1.262,3.578,3.766,52.84,11900.54,4.247,4.197,4.518,5.488,882985.18,2684054.72,1.094276,0.82,405120.38,-2180.98
2020-02-18,541773.32,1.266,3.447,3.7,52.99,11892.82,4.273,4.407,4.652,5.505,883150.31,2684663.19,1.097279,0.82,403616.51,-1685.84
2020-02-19,541799.2,1.204,3.451,3.674,53.15,11888.1,4.299,4.271,4.635,5.043,883313.44,2685265.63,1.090323,0.82,402783.9,-2081.02
2020-02-20,541823.99,1.153,3.405,3.701,53.16,11889.67,4.321,4.377,4.393,5.226,883473.23,2685857.94,1.091861,0.82,399558.21,-2423.58
2020-02-21,541848.02,1.118,3.345,3.525,53.1,11882.58,4.341,4.476,4.472,5.283,883629.68,2686440.15,1.088736,0.82,397568.71,-2124.5
2020-02-24,541870.98,1.067,3.362,3.507,53.09,11881.39,4.361,4.404,4.497,4.92,883785,2687018.96,1.083252,0.82,395211.31,-2112.92
2020-02-25,541893.6,1.052,3.259,3.514,52.92,11878.47,4.377,4.293,4.661,5.563,883936.18,2687585.24,1.09374,0.82,393117.01,-2035.7
2020-02-26,541916.01,1.042,3.202,3.536,52.8,11880.75,4.391,4.4,4.611,5.338,884085.06,2688144.55,1.101869,0.82,393162.39,-1773.75
2020-02-27,541937.82,1.014,3.196,3.559,52.61,11872.93,4.404,4.262,4.753,5.161,884232.77,2688700.34,1.104295,0.82,392711.89,-1993.28
2020-02-28,541959.6,1.013,3.233,3.45,52.71,11876.31,4.418,4.385,4.705,5.277,884381.73,2689259.99,1.103725,0.82,395303.7,-1986.77
