Date,GDP,GDPGrowth,CPI,PPI,PMI,NonFarmPayroll,InterestRate,InterbankRate,TreasuryYield2Y,TreasuryYield10Y,M1,M2,ExchangeRate,PoliticalStability,MarginBalance,NorthFlow
2020-01-21,1805832.08,2.075,0.505,2.53,51.78,14455.01,3.035,3.122,3.273,4.196,594118.6,547536.57,0.0067,0.75,36378.62,5299.53
2020-01-22,1805975.75,2.005,0.541,2.504,51.87,14451.11,3.005,2.988,3.403,3.823,594178.62,547613.61,0.006722,0.75,36606.68,4944.63
2020-01-23,1806115.91,1.956,0.574,2.585,51.78,14449.87,2.977,2.908,3.141,4.287,594238.27,547690.32,0.006726,0.75,36890.54,4860.76
2020-01-24,1806249.9,1.87,0.804,2.669,51.65,14447.93,2.955,3.025,3.074,3.816,594301.31,547770.15,0.006745,0.75,37097.75,4516.25
2020-01-27,1806379.95,1.814,0.823,2.771,51.6,14445.12,2.934,3.102,3.243,4.152,594363.5,547849.21,0.006736,0.75,37192.91,4319.94
2020-01-28,1806505.11,1.746,0.872,2.932,51.45,14443.89,2.914,2.902,3.141,4.246,594425.24,547927.86,0.006767,0.75,37159.66,4510.72
2020-01-29,1806627.46,1.707,0.858,2.879,51.61,14448.39,2.894,2.948,3.093,4.083,594485.73,548005.37,0.006746,0.75,37173.25,4544.56
2020-01-30,1806745.68,1.649,0.937,2.814,52.07,14454.71,2.875,2.733,3.179,3.844,594546.75,548083.36,0.006697,0.75,37151.51,4366.98
2020-01-31,1806862.01,1.623,0.975,2.918,52.34,14458.56,2.858,2.883,3.031,3.226,594608.03,548161.6,0.006726,0.75,37071.45,4366.53
2020-02-03,1806976,1.59,1.004,2.973,52.6,14460.16,2.842,2.789,3.022,3.569,594669.23,548239.77,0.006739,0.75,36847.47,4367.63
2020-02-04,1807086.18,1.536,1.156,2.827,52.71,14463.89,2.83,2.66,3.002,3.715,594732.78,548320.11,0.006834,0.75,36616.64,4458.33
2020-02-05,1807190.8,1.459,1.232,2.673,52.14,14466.97,2.82,2.582,3.041,4.148,594796.29,548400.42,0.006797,0.75,36473.11,4126.24
2020-02-06,1807293.71,1.435,1.34,2.648,51.8,14463.95,2.813,2.792,2.906,3.839,594861.8,548482.58,0.006796,0.75,36403.62,4365.7
2020-02-07,1807394.18,1.401,1.313,2.587,51.86,14465.45,2.806,3.04,3.002,3.648,594925.86,548563.42,0.006759,0.75,36400.98,4185.24
2020-02-10,1807492.15,1.366,1.298,2.56,51.84,14467.31,2.797,2.759,2.998,3.866,594988.76,548643.19,0.006762,0.75,36028.8,4391.99
2020-02-11,1807588.63,1.345,1.318,2.503,51.54,14477.6,2.789,2.863,3.078,3.479,595051.64,548722.94,0.006793,0.75,36160.89,4518.44
2020-02-12,1807683.62,1.324,1.284,2.484,51.6,14478.72,2.78,2.783,2.986,3.957,595113.23,548801.51,0.006752,0.75,36289.76,3983.21
2020-02-13,1807778.32,1.32,1.259,2.41,51.71,14470.75,2.77,2.811,3.048,4.031,595174.15,548879.47,0.00678,0.75,36516.1,4103.25
2020-02-14,1807871.79,1.303,1.302,2.476,51.56,14459.98,2.762,2.822,2.967,3.797,595235.67,548957.98,0.006759,0.75,36470.83,4095.73
2020-02-17,1807963.85,1.283,1.307,2.389,51.58,14456.71,2.754,2.699,2.915,3.996,595296.84,549036.18,0.006726,0.75,36751.38,4155.42
2020-02-18,1808055.89,1.283,1.286,2.408,51.43,14459.84,2.745,2.59,2.908,3.658,595357.52,549113.93,0.006738,0.75,36801.01,4043.64
2020-02-19,1808144.95,1.241,1.245,2.328,51.22,14453.69,2.735,2.996,3.005,3.556,595416.26,549189.9,0.006708,0.75,36803.18,3797.01
2020-02-20,1808233.08,1.228,1.311,2.281,51.37,14447.03,2.727,2.95,3.11,3.83,595476.25,549267.02,0.006695,0.75,37061.14,3912.76
2020-02-21,1808317.51,1.177,1.36,2.005,51.52,14447.23,2.72,2.737,2.762,3.759,595536.2,549344.12,0.006723,0.75,37161.83,3966.79
2020-02-24,1808401.81,1.175,1.413,1.973,51.65,14448.38,2.715,2.717,2.942,3.77,595597.35,549422.33,0.006702,0.75,37328.93,3978.24
2020-02-25,1808487.63,1.196,1.405,1.924,51.82,14452.7,2.71,2.809,3.031,3.809,595658.82,549500.83,0.006733,0.75,37497.39,3899.77
2020-02-26,1808571.72,1.172,1.435,1.992,52,14450.19,2.705,2.663,2.745,3.536,595720.43,549579.48,0.006648,0.75,37482.85,3510.26
2020-02-27,1808657.82,1.2,1.56,1.981,51.97,14452.31,2.705,2.822,2.938,3.923,595785.67,549661.46,0.006636,0.75,37807.37,3388.11
2020-02-28,1808741.3,1.163,1.615,1.847,51.72,14460.35,2.706,2.56,2.791,3.429,595851.36,549743.88,0.006596,0.75,37737.04,3500.14
