Date,GDP,GDPGrowth,CPI,PPI,PMI,NonFarmPayroll,InterestRate,InterbankRate,TreasuryYield2Y,TreasuryYield10Y,M1,M2,ExchangeRate,PoliticalStability,MarginBalance,NorthFlow
2020-01-28,1259457.89,1.273,2.624,1.565,48.84,9816.2,3.68,3.706,3.721,4.817,888525.14,1416351.36,1.022874,0.85,196393.84,5989.18
2020-01-29,1259519.45,1.232,2.617,1.536,48.67,9820.4,3.693,3.581,4.002,4.801,888660.84,1416623.87,1.019823,0.85,197247.46,5851.56
2020-01-30,1259579.81,1.208,2.609,1.449,48.59,9822.6,3.704,3.719,3.845,4.595,888795.42,1416894.63,1.014768,0.85,198211.78,5701.19
2020-01-31,1259637.98,1.164,2.572,1.492,48.68,9823.69,3.714,3.676,3.953,5.217,888927.2,1417160.93,1.014983,0.85,197559.38,5637.36
2020-02-03,1259695.49,1.151,2.574,1.564,48.54,9819.41,3.723,3.726,4.064,4.768,889058.59,1417426.64,1.022236,0.85,198500.21,5692.69
2020-02-04,1259752.27,1.136,2.638,1.61,48.79,9821.28,3.734,3.694,3.988,4.717,889191.72,1417695.14,1.021247,0.85,199074.16,5369.73
2020-02-05,1259807.84,1.112,2.62,1.687,49.08,9820.12,3.744,3.786,3.8,4.681,889323.38,1417961.31,1.026363,0.85,199482.1,4794.06
2020-02-06,1259861.43,1.072,2.637,1.894,48.95,9815.23,3.754,3.743,3.789,4.78,889454.26,1418226.25,1.017487,0.85,199442.38,4648.13
2020-02-07,1259914.99,1.071,2.71,2.032,49.07,9812.56,3.766,3.816,4.048,4.73,889587.72,1418495.34,1.014206,0.85,201787.05,4506.8
2020-02-10,1259966.92,1.039,2.76,2.016,49.5,9816.18,3.779,3.75,4.039,4.886,889721.83,1418765.47,1.019454,0.85,200924.03,4012.3
2020-02-11,1260016.5,0.992,2.801,2.356,49.88,9816.81,3.792,3.783,4.057,4.671,889855.74,1419035.3,1.027884,0.85,201296.88,3372.34
2020-02-12,1260063.43,0.939,2.799,2.526,49.59,9814.24,3.805,3.75,3.751,4.888,889987.73,1419302.09,1.030759,0.85,200580.03,3418.81
2020-02-13,1260108.9,0.909,2.798,2.494,49.73,9809.33,3.817,3.791,4.016,5.001,890118.67,1419567.23,1.032565,0.85,199414.05,3502.41
2020-02-14,1260153.35,0.889,2.694,2.422,49.87,9799.54,3.825,3.778,4.02,4.816,890245.23,1419825.4,1.039426,0.85,198536.23,3488.28
2020-02-17,1260198.6,0.905,2.62,2.503,50.23,9790.83,3.831,3.86,3.971,4.577,890369.78,1420080.38,1.031036,0.85,199126.66,2960.07
2020-02-18,1260243.26,0.893,2.507,2.516,49.99,9790.52,3.834,3.736,3.964,5.104,890489.92,1420328.35,1.031521,0.85,199474.78,2624.29
2020-02-19,1260287.01,0.875,2.46,2.338,50.05,9791.55,3.835,4.016,4.053,4.907,890607.76,1420572.67,1.036792,0.85,199031.63,2920.17
2020-02-20,1260329.42,0.848,2.381,2.312,50.07,9797.52,3.833,3.887,4.115,4.67,890721.88,1420811.08,1.030461,0.85,198656.49,2565.04
2020-02-21,1260372.39,0.859,2.408,2.314,50.27,9800.86,3.832,3.778,4.009,4.512,890837.38,1421051.69,1.028354,0.85,197111.75,2456.95
2020-02-24,1260415.73,0.867,2.318,2.355,50.38,9796.92,3.829,3.799,3.947,5.025,890949.97,1421287.67,1.020458,0.85,196635.98,2405.35
2020-02-25,1260458.03,0.846,2.267,2.333,50.46,9799.58,3.824,3.921,3.947,4.514,891060.03,1421519.65,1.025385,0.85,194855.57,2260.66
2020-02-26,1260499.16,0.822,2.357,2.275,50.61,9802.81,3.821,3.763,4.122,4.638,891172.44,1421755.39,1.037157,0.85,195782.06,2200.87
2020-02-27,1260538.86,0.794,2.291,2.098,50.62,9801.36,3.816,3.845,3.969,4.709,891281.53,1421985.85,1.034085,0.85,196263.77,2236.08
2020-02-28,1260579.35,0.809,2.332,2.195,50.53,9803.66,3.813,3.812,4.007,4.53,891392.62,1422219.52,1.027809,0.85,195869.76,2068.66
